Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
184,BSE,BSE LIMITED,"50,67,272.51"
185,SUNDARMFIN,SUNDARAM FINANCE LIMITED,"50,59,705.02"
186,COROMANDEL,COROMANDEL INTERNATIONAL LIMITED,"49,91,358.86"
187,SJVN,SJVN LIMITED,"49,66,643.57"
188,COCHINSHIP,COCHIN SHIPYARD LIMITED,"49,42,390.06"
189,FEDERALBNK,THE FEDERAL BANK  LIMITED,"48,35,094.48"
190,PAGEIND,PAGE INDUSTRIES LIMITED,"48,29,759.56"
191,COFORGE,COFORGE LIMITED,"48,22,634.59"
192,AUBANK,AU SMALL FINANCE BANK LIMITED,"47,63,374.97"
193,VMM,VISHAL MEGA MART LIMITED,"47,51,639.28"
194,MOTILALOFS,MOTILAL OSWAL FINANCIAL SERVICES LIMITED,"47,03,192.83"
195,LLOYDSME,LLOYDS METALS AND ENERGY LIMITED,"46,15,988.77"
196,BDL,BHARAT DYNAMICS LIMITED,"45,95,208.57"
197,KPITTECH,KPIT TECHNOLOGIES LIMITED,"44,93,747.93"
198,TATAELXSI,TATA ELXSI LIMITED,"44,87,719.08"
199,GVT&D,GE VERNOVA T&D INDIA LIMITED,"44,80,054.32"
200,GLENMARK,GLENMARK PHARMACEUTICALS LIMITED,"44,62,877.34"
201,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LIMITED,"44,50,186.95"
202,ACC,ACC LIMITED,"44,49,177.29"
203,FORTIS,FORTIS HEALTHCARE LIMITED,"44,27,595.83"
204,PAYTM,ONE 97 COMMUNICATIONS LIMITED,"44,10,587.62"
205,AWL,ADANI WILMAR LIMITED,"43,94,331.97"
206,NAM-INDIA,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,"43,34,973.24"
207,HONAUT,HONEYWELL AUTOMATION INDIA LIMITED,"42,94,953.18"
208,OLAELEC,OLA ELECTRIC MOBILITY LIMITED,"42,75,057.32"
209,FLUOROCHEM,GUJARAT FLUOROCHEMICALS LIMITED,"42,72,841.56"
210,MAHABANK,BANK OF MAHARASHTRA,"42,62,886.03"
211,BIOCON,BIOCON LIMITED,"42,20,709.28"
212,UPL,UPL LIMITED,"42,18,614.50"
213,ESCORTS,ESCORTS KUBOTA LIMITED,"41,93,038.41"
214,JUBLFOOD,JUBILANT FOODWORKS LIMITED,"41,74,675.60"
215,APLAPOLLO,APL APOLLO TUBES LIMITED,"41,72,168.82"
216,EXIDEIND,EXIDE INDUSTRIES LIMITED,"41,23,464.72"
217,SONACOMS,SONA BLW PRECISION FORGINGS LIMITED,"41,10,599.94"
218,TATATECH,TATA TECHNOLOGIES LIMITED,"40,94,088.90"
219,LTF,L&T FINANCE LIMITED,"40,47,942.52"
220,GUJGASLTD,GUJARAT GAS LIMITED,"39,82,366.95"
221,360ONE,360 ONE WAM LIMITED,"39,54,952.30"
222,3MINDIA,3M INDIA LIMITED,"39,34,289.54"
223,MFSL,MAX FINANCIAL SERVICES LIMITED,"39,08,646.65"
224,KEI,KEI INDUSTRIES LIMITED,"38,79,771.73"
225,AIAENG,AIA ENGINEERING LIMITED,"38,16,943.05"
226,DEEPAKNTR,DEEPAK NITRITE LIMITED,"38,14,981.05"
227,NATIONALUM,NATIONAL ALUMINIUM COMPANY LIMITED,"38,06,143.86"
228,BLUESTARCO,BLUE STAR LIMITED,"37,98,419.89"
229,NIACL,THE NEW INDIA ASSURANCE COMPANY LIMITED,"37,85,478.27"
230,PSB,PUNJAB & SIND BANK,"37,56,136.28"
231,APARINDS,APAR INDUSTRIES LIMITED,"37,53,438.13"
232,AJANTPHARM,AJANTA PHARMA LIMITED,"37,03,499.10"
233,IPCALAB,IPCA LABORATORIES LIMITED,"36,91,650.08"
234,LICHSGFIN,LIC HOUSING FINANCE LIMITED,"36,72,399.61"
235,NLCINDIA,NLC INDIA LIMITED,"36,65,285.51"
236,M&MFIN,MAHINDRA & MAHINDRA FINANCIAL SERVICES LIMITED,"36,28,829.85"
237,IRB,IRB INFRASTRUCTURE DEVELOPERS LIMITED,"36,00,792.13"
238,CRISIL,CRISIL LIMITED,"35,53,941.99"
239,GODREJIND,GODREJ INDUSTRIES LIMITED,"34,90,776.21"
240,DALBHARAT,DALMIA BHARAT LIMITED,"34,45,876.08"
241,SYNGENE,SYNGENE INTERNATIONAL LIMITED,"34,29,522.45"
242,ENDURANCE,ENDURANCE TECHNOLOGIES LIMITED,"34,28,202.55"
243,METROBRAND,METRO BRANDS LIMITED,"34,16,411.75"
244,JKCEMENT,JK CEMENT LIMITED,"34,04,776.69"
245,KAYNES,KAYNES TECHNOLOGY INDIA LIMITED,"34,01,077.59"
246,TATAINVEST,TATA INVESTMENT CORPORATION LIMITED,"33,71,955.79"
247,IKS,INVENTURUS KNOWLEDGE SOLUTIONS LIMITED,"33,55,552.78"
248,IGL,INDRAPRASTHA GAS LIMITED,"33,55,256.59"
249,ABFRL,ADITYA BIRLA FASHION AND RETAIL LIMITED,"33,30,485.70"
250,APOLLOTYRE,APOLLO TYRES LIMITED,"32,80,167.82"
251,FIRSTCRY,BRAINBEES SOLUTIONS LIMITED,"32,42,664.80"
252,STARHEALTH,STAR HEALTH AND ALLIED INSURANCE COMPANY LIMITED,"32,36,598.47"
253,GODIGIT,GO DIGIT GENERAL INSURANCE LIMITED,"32,19,710.57"
254,MRPL,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,"31,92,216.78"
255,EMAMILTD,EMAMI LIMITED,"31,63,705.20"
256,KPRMILL,K.P.R. MILL LIMITED,"31,52,134.14"
257,CHOLAHLDNG,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,"31,24,622.15"
258,SUNTV,SUN TV NETWORK LIMITED,"30,92,882.47"
259,CDSL,CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,"30,80,990.08"
260,MANYAVAR,VEDANT FASHIONS LIMITED,"30,46,511.28"
261,BANDHANBNK,BANDHAN BANK LIMITED,"30,46,279.89"
262,GLAND,GLAND PHARMA LIMITED,"30,25,911.19"
263,GODFRYPHLP,GODFREY PHILLIPS INDIA LIMITED,"30,16,863.24"
264,MEDANTA,GLOBAL HEALTH LIMITED,"30,00,885.01"
265,MSUMI,MOTHERSON SUMI WIRING INDIA LIMITED,"29,85,419.79"
266,BRIGADE,BRIGADE ENTERPRISES LIMITED,"29,74,849.14"
267,NBCC,NBCC (INDIA) LIMITED,"29,68,845.71"
268,HINDCOPPER,HINDUSTAN COPPER LIMITED,"29,49,216.06"
269,POONAWALLA,POONAWALLA FINCORP LIMITED,"29,08,067.18"
270,PPLPHARMA,PIRAMAL PHARMA LIMITED,"28,98,323.23"
271,SUVENPHAR,SUVEN PHARMACEUTICALS LIMITED,"28,77,839.64"
272,JBCHEPHARM,JB CHEMICALS & PHARMACEUTICALS LIMITED,"28,72,823.59"
273,DELHIVERY,DELHIVERY LIMITED,"28,72,461.95"
274,GILLETTE,GILLETTE INDIA LIMITED,"28,68,133.32"
275,CARBORUNIV,CARBORUNDUM UNIVERSAL LIMITED,"28,54,074.49"
276,ABREL,ADITYA BIRLA REAL ESTATE LIMITED,"28,52,912.45"
277,BASF,BASF INDIA LIMITED,"28,45,185.54"
278,ZFCVINDIA,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LIMITED,"28,05,203.64"
279,AEGISLOG,AEGIS LOGISTICS LIMITED,"27,97,290.35"
280,ITI,ITI LIMITED,"27,92,755.36"
281,RADICO,RADICO KHAITAN LIMITED,"27,78,576.74"
282,SUNDRMFAST,SUNDRAM FASTENERS LIMITED,"27,66,738.55"
283,TIMKEN,TIMKEN INDIA LIMITED,"27,63,353.02"
284,TATACHEM,TATA CHEMICALS LIMITED,"27,55,147.70"
285,CROMPTON,CROMPTON GREAVES CONSUMER ELECTRICALS LIMITED,"27,24,168.60"
286,ISEC,ICICI SECURITIES LIMITED,"26,98,411.67"
287,JYOTICNC,JYOTI CNC AUTOMATION LIMITED,"26,98,398.47"
288,SUMICHEM,SUMITOMO CHEMICAL INDIA LIMITED,"26,63,295.04"
289,LALPATHLAB,DR. LAL PATH LABS LIMITED,"26,39,926.49"
290,INOXWIND,INOX WIND LIMITED,"26,37,940.52"
291,HSCL,HIMADRI SPECIALITY CHEMICAL LIMITED,"26,29,194.19"
292,LAURUSLABS,LAURUS LABS LIMITED,"26,24,778.57"
293,EMCURE,EMCURE PHARMACEUTICALS LIMITED,"26,21,228.11"
294,TVSHLTD,TVS HOLDINGS LIMITED,"26,21,045.95"
295,GRINDWELL,GRINDWELL NORTON LIMITED,"26,19,799.97"
296,AIIL,AUTHUM INVESTMENT & INFRASTRUCTURE LIMITED,"26,16,225.14"
297,WHIRLPOOL,WHIRLPOOL OF INDIA LIMITED,"26,08,981.73"
298,SKFINDIA,SKF INDIA LIMITED,"26,07,973.58"
299,ARE&M,AMARA RAJA ENERGY & MOBILITY LIMITED,"25,90,899.81"
300,HATSUN,HATSUN AGRO PRODUCT LIMITED,"25,82,391.42"
301,NH,NARAYANA HRUDAYALAYA LIMITED,"25,74,174.92"
302,NATCOPHARM,NATCO PHARMA LIMITED,"25,48,522.86"
303,KEC,KEC INTERNATIONAL LIMITED,"25,24,167.87"
304,RATNAMANI,RATNAMANI METALS & TUBES LIMITED,"24,96,389.13"
305,PFIZER,PFIZER LIMITED,"24,84,570.37"
306,EIHOTEL,EIH LIMITED,"24,56,877.23"
307,CESC,CESC LIMITED,"24,41,471.38"
308,KIOCL,KIOCL LIMITED,"23,98,525.85"
309,PEL,PIRAMAL ENTERPRISES LIMITED,"23,86,432.70"
310,POLYMED,POLY MEDICURE LIMITED,"23,85,225.98"
311,ANGELONE,ANGEL ONE LIMITED,"23,85,219.05"
312,PNBHOUSING,PNB HOUSING FINANCE LIMITED,"23,50,145.31"
313,IGIL,INTERNATIONAL GEMMOLOGICAL INSTITUTE (INDIA) LIMITED,"23,18,938.06"
314,CASTROLIND,CASTROL INDIA LIMITED,"23,07,059.70"
315,KANSAINER,KANSAI NEROLAC PAINTS LIMITED,"22,99,426.00"
316,NUVAMA,NUVAMA WEALTH MANAGEMENT LIMITED,"22,76,463.20"
317,IRCON,IRCON INTERNATIONAL LIMITED,"22,73,782.63"
318,JWL,JUPITER WAGONS LIMITED,"22,67,050.14"
319,TRITURBINE,TRIVENI TURBINE LIMITED,"22,63,601.53"
320,SHYAMMETL,SHYAM METALICS AND ENERGY LIMITED,"22,46,971.58"
321,ANANTRAJ,ANANT RAJ LIMITED,"22,35,756.58"
322,FSL,FIRSTSOURCE SOLUTIONS LIMITED,"22,21,267.74"
323,ATUL,ATUL LIMITED,"22,19,576.95"
324,CAMS,COMPUTER AGE MANAGEMENT SERVICES LIMITED,"22,14,143.30"
325,AFFLE,AFFLE (INDIA) LIMITED,"22,10,222.24"
326,TEJASNET,TEJAS NETWORKS LIMITED,"21,94,598.15"
327,FIVESTAR,FIVE-STAR BUSINESS FINANCE LIMITED,"21,88,012.25"
328,APLLTD,ALEMBIC PHARMACEUTICALS LIMITED,"21,77,155.79"
329,ABSLAMC,ADITYA BIRLA SUN LIFE AMC LIMITED,"21,65,984.67"
330,JBMA,JBM AUTO LIMITED,"21,34,111.12"
331,KAJARIACER,KAJARIA CERAMICS LIMITED,"21,29,085.05"
332,DEVYANI,DEVYANI INTERNATIONAL LIMITED,"21,24,895.01"
333,GRSE,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,"21,24,743.67"
334,CYIENT,CYIENT LIMITED,"20,94,158.46"
335,GSPL,GUJARAT STATE PETRONET LIMITED,"20,91,439.75"
336,FINCABLES,FINOLEX CABLES LIMITED,"20,91,269.52"
337,ELGIEQUIP,ELGI EQUIPMENTS LIMITED,"20,90,335.64"
338,KIMS,KRISHNA INSTITUTE OF MEDICAL SCIENCES LIMITED,"20,89,400.10"
339,KPIL,KALPATARU PROJECTS INTERNATIONAL LIMITED,"20,88,716.36"
340,ASTERDM,ASTER DM HEALTHCARE LIMITED,"20,82,555.20"
341,RAMCOCEM,THE RAMCO CEMENTS LIMITED,"20,65,012.58"
342,JINDALSAW,JINDAL SAW LIMITED,"20,59,419.52"
343,BIKAJI,BIKAJI FOODS INTERNATIONAL LIMITED,"20,49,022.43"
344,AARTIIND,AARTI INDUSTRIES LIMITED,"20,48,438.06"
345,CIEINDIA,CIE AUTOMOTIVE INDIA LIMITED,"20,36,265.21"
346,CHAMBLFERT,CHAMBAL FERTILIZERS & CHEMICALS LIMITED,"20,17,891.69"
347,VINATIORGA,VINATI ORGANICS LIMITED,"20,12,575.25"
348,SIGNATURE,SIGNATUREGLOBAL (INDIA) LIMITED,"20,08,384.57"
349,SWANENERGY,SWAN ENERGY LIMITED,"19,85,784.17"
350,CONCORDBIO,CONCORD BIOTECH LIMITED,"19,67,827.49"
351,NCC,NCC LIMITED,"19,51,005.89"
352,VGUARD,V-GUARD INDUSTRIES LIMITED,"19,44,698.11"
353,PTCIL,PTC INDUSTRIES LIMITED,"19,38,514.40"
354,SCHNEIDER,SCHNEIDER ELECTRIC INFRASTRUCTURE LIMITED,"19,27,167.16"
355,IIFL,IIFL FINANCE LIMITED,"19,18,302.01"
356,RELAXO,RELAXO FOOTWEARS LIMITED,"19,12,920.20"
357,HFCL,HFCL LIMITED,"19,08,269.12"
358,BLUEDART,BLUE DART EXPRESS LIMITED,"18,96,162.35"
359,CHALET,CHALET HOTELS LIMITED,"18,88,821.56"
360,CELLO,CELLO WORLD LIMITED,"18,88,701.63"
