Rank,Symbol,Company Name,"Average market capitalisation from July  01, 2024 to December 31, 2024 (Rs. In lakhs)"
721,CSBBANK,CSB BANK LIMITED,"5,62,384.60"
722,CYIENTDLM,CYIENT DLM LIMITED,"5,61,756.75"
723,THANGAMAYL,THANGAMAYIL JEWELLERY LIMITED,"5,61,473.89"
724,BANCOINDIA,BANCO PRODUCTS (I) LIMITED,"5,61,214.23"
725,JSFB,JANA SMALL FINANCE BANK LIMITED,"5,59,893.47"
726,JCHAC,JOHNSON CONTROLS - HITACHI AIR CONDITIONING INDIA LIMITED,"5,54,483.09"
727,HEMIPROP,HEMISPHERE PROPERTIES INDIA LIMITED,"5,43,682.51"
728,MTARTECH,MTAR TECHNOLOGIES LIMITED,"5,40,824.04"
729,NPST,NETWORK PEOPLE SERVICES TECHNOLOGIES LIMITED,"5,38,941.88"
730,ORIENTELEC,ORIENT ELECTRIC LIMITED,"5,36,187.49"
731,MANORAMA,MANORAMA INDUSTRIES LIMITED,"5,32,624.41"
732,MSTCLTD,MSTC LIMITED,"5,30,420.14"
733,PAISALO,PAISALO DIGITAL LIMITED,"5,28,267.96"
734,KIRLOSIND,KIRLOSKAR INDUSTRIES LIMITED,"5,25,761.42"
735,OPTIEMUS,OPTIEMUS INFRACOM LIMITED,"5,23,072.67"
736,ANUP,THE ANUP ENGINEERING LIMITED,"5,20,931.41"
737,EIEL,ENVIRO INFRA ENGINEERS LIMITED,"5,18,216.42"
738,BBL,BHARAT BIJLEE LIMITED,"5,15,549.66"
739,DYNAMATECH,DYNAMATIC TECHNOLOGIES LIMITED,"5,11,743.40"
740,MASFIN,MAS FINANCIAL SERVICES LIMITED,"5,09,351.60"
741,HEIDELBERG,HEIDELBERGCEMENT INDIA LIMITED,"5,09,281.14"
742,ZAGGLE,ZAGGLE PREPAID OCEAN SERVICES LIMITED,"5,07,614.07"
743,HERITGFOOD,HERITAGE FOODS LIMITED,"5,06,683.10"
744,VAIBHAVGBL,VAIBHAV GLOBAL LIMITED,"5,06,166.55"
745,KSCL,KAVERI SEED COMPANY LIMITED,"5,02,388.26"
746,TEAMLEASE,TEAMLEASE SERVICES LIMITED,"5,01,345.33"
747,CARTRADE,CARTRADE TECH LIMITED,"5,00,150.86"
748,RBA,RESTAURANT BRANDS ASIA LIMITED,"4,97,387.13"
749,NEOGEN,NEOGEN CHEMICALS LIMITED,"4,95,565.82"
750,SKIPPER,SKIPPER LIMITED,"4,92,019.06"
751,GANECOS,GANESHA ECOSPHERE LIMITED,"4,91,885.08"
752,VRLLOG,VRL LOGISTICS LIMITED,"4,91,717.79"
753,AWFIS,AWFIS SPACE SOLUTIONS LIMITED,"4,91,409.01"
754,BOROLTD,BOROSIL LIMITED,"4,88,117.04"
755,GOPAL,GOPAL SNACKS LIMITED,"4,86,050.99"
756,UTKARSHBNK,UTKARSH SMALL FINANCE BANK LIMITED,"4,85,998.92"
757,REFEX,REFEX INDUSTRIES LIMITED,"4,85,609.43"
758,E2E,E2E NETWORKS LIMITED,"4,85,122.31"
759,WONDERLA,WONDERLA HOLIDAYS LIMITED,"4,84,308.24"
760,ADVENZYMES,ADVANCED ENZYME TECHNOLOGIES LIMITED,"4,82,009.03"
761,BHARATRAS,BHARAT RASAYAN LIMITED,"4,80,492.42"
762,SHAILY,SHAILY ENGINEERING PLASTICS LIMITED,"4,80,290.25"
763,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LIMITED,"4,79,909.20"
764,UNICHEMLAB,UNICHEM LABORATORIES LIMITED,"4,77,825.11"
765,ORISSAMINE,THE ORISSA MINERALS DEVELOPMENT COMPANY LIMITED,"4,73,195.26"
766,PATELENG,PATEL ENGINEERING LIMITED,"4,72,748.76"
767,YATHARTH,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,"4,72,447.80"
768,HARSHA,HARSHA ENGINEERS INTERNATIONAL LIMITED,"4,72,042.73"
769,NOCIL,NOCIL LIMITED,"4,72,018.92"
770,GATEWAY,GATEWAY DISTRIPARKS LIMITED,"4,69,055.32"
771,ROSSARI,ROSSARI BIOTECH LIMITED,"4,68,970.68"
772,JAMNAAUTO,JAMNA AUTO INDUSTRIES LIMITED,"4,68,198.69"
773,SUPRIYA,SUPRIYA LIFESCIENCE LIMITED,"4,67,346.05"
774,AARTIDRUGS,AARTI DRUGS LIMITED,"4,63,534.23"
775,WEBELSOLAR,WEBSOL ENERGY SYSTEM LIMITED,"4,58,251.39"
776,JISLJALEQS,JAIN IRRIGATION SYSTEMS LIMITED,"4,57,757.93"
777,THYROCARE,THYROCARE TECHNOLOGIES LIMITED,"4,57,124.79"
778,PITTIENG,PITTI ENGINEERING LIMITED,"4,54,428.53"
779,PGIL,PEARL GLOBAL INDUSTRIES LIMITED,"4,53,567.39"
780,RAMKY,RAMKY INFRASTRUCTURE LIMITED,"4,53,024.21"
781,JTEKTINDIA,JTEKT INDIA LIMITED,"4,52,430.77"
782,STYRENIX,STYRENIX PERFORMANCE MATERIALS LIMITED,"4,52,320.63"
783,HIKAL,HIKAL LIMITED,"4,51,937.37"
784,UFLEX,UFLEX LIMITED,"4,51,757.35"
785,PARAS,PARAS DEFENCE AND SPACE TECHNOLOGIES LIMITED,"4,50,994.67"
786,GREENPANEL,GREENPANEL INDUSTRIES LIMITED,"4,50,319.91"
787,SHANTIGEAR,SHANTHI GEARS LIMITED,"4,48,646.79"
788,SUBROS,SUBROS LIMITED,"4,48,633.24"
789,BOMDYEING,BOMBAY DYEING & MFG COMPANY LIMITED,"4,48,595.28"
790,EMSLIMITED,EMS LIMITED,"4,45,073.47"
791,INNOVACAP,INNOVA CAPTAB LIMITED,"4,44,785.53"
792,MOBIKWIK,ONE MOBIKWIK SYSTEMS LIMITED,"4,44,710.98"
793,SUNCLAY,SUNDARAM CLAYTON LIMITED,"4,43,701.59"
794,JAYNECOIND,JAYASWAL NECO INDUSTRIES LIMITED,"4,43,151.27"
795,GREENPLY,GREENPLY INDUSTRIES LIMITED,"4,39,480.43"
796,BALMLAWRIE,BALMER LAWRIE & COMPANY LIMITED,"4,37,807.71"
797,IMAGICAA,IMAGICAAWORLD ENTERTAINMENT LIMITED,"4,35,795.01"
798,SEQUENT,SEQUENT SCIENTIFIC LIMITED,"4,34,874.17"
799,ORIANA,ORIANA POWER LIMITED,"4,32,232.43"
800,BANARISUG,BANNARI AMMAN SUGARS LIMITED,"4,30,248.95"
801,SAMHI,SAMHI HOTELS LIMITED,"4,27,574.67"
802,FEDFINA,FEDBANK FINANCIAL SERVICES LIMITED,"4,27,187.37"
803,BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTRIES LIMITED,"4,25,580.37"
804,EXICOM,EXICOM TELE-SYSTEMS LIMITED,"4,24,941.69"
805,GREAVESCOT,GREAVES COTTON LIMITED,"4,24,720.61"
806,AVALON,AVALON TECHNOLOGIES LIMITED,"4,23,933.37"
807,LGBBROSLTD,LG BALAKRISHNAN & BROS LIMITED,"4,22,826.83"
808,MEDIASSIST,MEDI ASSIST HEALTHCARE SERVICES LIMITED,"4,22,666.46"
809,AVANTEL,AVANTEL LIMITED,"4,17,141.99"
810,SKYGOLD,SKY GOLD LIMITED,"4,14,293.47"
811,PFOCUS,PRIME FOCUS LIMITED,"4,14,182.01"
812,ISMTLTD,ISMT LIMITED             ,"4,13,483.89"
813,SUNFLAG,SUNFLAG IRON AND STEEL COMPANY LIMITED,"4,12,345.82"
814,FCL,FINEOTEX CHEMICAL LIMITED,"4,11,020.82"
815,MOREPENLAB,MOREPEN LABORATORIES LIMITED,"4,10,576.41"
816,NORTHARC,NORTHERN ARC CAPITAL LIMITED,"4,07,918.07"
817,VENUSPIPES,VENUS PIPES & TUBES LIMITED,"4,02,695.23"
818,V2RETAIL,V2 RETAIL LIMITED,"4,02,474.02"
819,GUFICBIO,GUFIC BIOSCIENCES LIMITED,"4,02,392.94"
820,JTLIND,JTL INDUSTRIES LIMITED,"4,01,178.92"
821,FIEMIND,FIEM INDUSTRIES LIMITED,"4,00,849.68"
822,CIGNITITEC,CIGNITI TECHNOLOGIES LIMITED,"4,00,604.68"
823,WSTCSTPAPR,WEST COAST PAPER MILLS LIMITED,"3,99,430.25"
824,IMFA,INDIAN METALS & FERRO ALLOYS LIMITED,"3,98,211.92"
825,TCIEXP,TCI EXPRESS LIMITED,"3,97,604.56"
826,KKCL,KEWAL KIRAN CLOTHING LIMITED,"3,95,299.15"
827,KPEL,K.P. ENERGY LIMITED,"3,92,653.51"
828,JSLL,JEENA SIKHO LIFECARE LIMITED,"3,92,006.62"
829,GOKULAGRO,GOKUL AGRO RESOURCES LIMITED,"3,90,281.11"
830,KRN,KRN HEAT EXCHANGER AND REFRIGERATION LIMITED,"3,89,487.22"
831,SOTL,SAVITA OIL TECHNOLOGIES LIMITED,"3,89,014.81"
832,SULA,SULA VINEYARDS LIMITED,"3,85,689.55"
833,JNKINDIA,JNK INDIA LIMITED,"3,85,445.00"
834,DCBBANK,DCB BANK LIMITED,"3,85,248.36"
835,DCXINDIA,DCX SYSTEMS LIMITED,"3,84,734.02"
836,VSTTILLERS,V.S.T TILLERS TRACTORS LIMITED,"3,83,952.42"
837,INDIAGLYCO,INDIA GLYCOLS LIMITED,"3,83,844.46"
838,KSL,KALYANI STEELS LIMITED,"3,83,249.62"
839,DHANI,DHANI SERVICES LIMITED,"3,82,485.36"
840,KDDL,KDDL LIMITED,"3,81,634.36"
841,SPANDANA,SPANDANA SPHOORTY FINANCIAL LIMITED,"3,80,061.79"
842,VEEDOL,VEEDOL CORPORATION LIMITED,"3,78,384.91"
843,SEPC,SEPC LIMITED,"3,77,846.49"
844,ARTEMISMED,ARTEMIS MEDICARE SERVICES LIMITED,"3,77,402.86"
845,LUMAXTECH,LUMAX AUTO TECHNOLOGIES LIMITED,"3,76,534.54"
846,POLYPLEX,POLYPLEX CORPORATION LIMITED,"3,74,862.50"
847,SWARAJENG,SWARAJ ENGINES LIMITED,"3,73,570.22"
848,HONDAPOWER,HONDA INDIA POWER PRODUCTS LIMITED,"3,72,974.33"
849,KINGFA,KINGFA SCIENCE & TECHNOLOGY (INDIA) LIMITED,"3,72,747.78"
850,LAOPALA,LA OPALA RG LIMITED,"3,72,379.01"
851,ARVSMART,ARVIND SMARTSPACES LIMITED,"3,71,369.50"
852,PARKHOTELS,APEEJAY SURRENDRA PARK HOTELS LIMITED,"3,69,343.88"
853,MUTHOOTMF,MUTHOOT MICROFIN LIMITED,"3,68,905.02"
854,HGS,HINDUJA GLOBAL SOLUTIONS LIMITED,"3,68,578.00"
855,STYLAMIND,STYLAM INDUSTRIES LIMITED,"3,66,365.20"
856,HMT,HMT LIMITED,"3,64,661.16"
857,MPSLTD,MPS LIMITED,"3,64,082.63"
858,INDRAMEDCO,INDRAPRASTHA MEDICAL CORPORATION LIMITED,"3,63,897.36"
859,RPGLIFE,RPG LIFE SCIENCES LIMITED,"3,63,584.12"
860,SANGHVIMOV,SANGHVI MOVERS LIMITED,"3,62,248.41"
861,CARRARO,CARRARO INDIA LIMITED,"3,62,101.66"
862,BEPL,BHANSALI ENGINEERING POLYMERS LIMITED,"3,61,812.15"
863,JINDALPOLY,JINDAL POLY FILMS LIMITED,"3,61,685.50"
864,DATAMATICS,DATAMATICS GLOBAL SERVICES LIMITED,"3,60,315.75"
865,HPL,HPL ELECTRIC & POWER LIMITED,"3,59,999.54"
866,DALMIASUG,DALMIA BHARAT SUGAR AND INDUSTRIES LIMITED,"3,59,183.57"
867,ALEMBICLTD,ALEMBIC LIMITED,"3,58,960.82"
868,SCILAL,SHIPPING CORPORATION OF INDIA LAND AND ASSETS LIMITED,"3,58,432.71"
869,HATHWAY,HATHWAY CABLE & DATACOM LIMITED,"3,57,895.46"
870,TCNSBRANDS,TCNS CLOTHING CO. LIMITED,"3,57,021.70"
871,CARERATING,CARE RATINGS LIMITED,"3,54,036.59"
872,SHK,S H KELKAR AND COMPANY LIMITED,"3,52,870.44"
873,SBCL,SHIVALIK BIMETAL CONTROLS LIMITED,"3,51,672.73"
874,MTNL,MAHANAGAR TELEPHONE NIGAM LIMITED,"3,50,184.00"
875,SEAMECLTD,SEAMEC LIMITED,"3,49,551.27"
876,INDOSTAR,INDOSTAR CAPITAL FINANCE LIMITED,"3,49,245.71"
877,SERVOTECH,SERVOTECH POWER SYSTEMS LIMITED,"3,48,747.57"
878,ASHIANA,ASHIANA HOUSING LIMITED,"3,45,208.74"
879,SANDHAR,SANDHAR TECHNOLOGIES LIMITED,"3,44,023.34"
880,GIPCL,GUJARAT INDUSTRIES POWER COMPANY LIMITED,"3,42,490.43"
881,DPABHUSHAN,D. P. ABHUSHAN LIMITED,"3,42,348.25"
882,EPACK,EPACK DURABLE LIMITED,"3,42,070.72"
883,SINDHUTRAD,SINDHU TRADE LINKS LIMITED,"3,41,124.82"
884,BAJAJCON,BAJAJ CONSUMER CARE LIMITED,"3,40,552.99"
885,SSWL,STEEL STRIPS WHEELS LIMITED,"3,38,623.97"
886,QUICKHEAL,QUICK HEAL TECHNOLOGIES LIMITED,"3,38,255.88"
887,NUCLEUS,NUCLEUS SOFTWARE EXPORTS LIMITED,"3,37,699.10"
888,DELTACORP,DELTA CORP LIMITED,"3,36,581.26"
889,NAVNETEDUL,NAVNEET EDUCATION LIMITED,"3,36,175.05"
890,TIRUMALCHM,THIRUMALAI CHEMICALS LIMITED,"3,36,118.66"
891,BFUTILITIE,BF UTILITIES LIMITED,"3,33,313.81"
892,MAHLOG,MAHINDRA LOGISTICS LIMITED,"3,31,288.90"
893,RPSGVENT,RPSG VENTURES LIMITED,"3,31,019.15"
894,GENSOL,GENSOL ENGINEERING LIMITED,"3,30,859.86"
895,GOLDIAM,GOLDIAM INTERNATIONAL LIMITED,"3,30,838.32"
896,VPRPL,VISHNU PRAKASH R PUNGLIA LIMITED,"3,28,857.56"
897,MARINE,MARINE ELECTRICALS (INDIA) LIMITED,"3,26,992.62"
898,PRAKASH,PRAKASH INDUSTRIES LIMITED,"3,25,112.99"
899,GEOJITFSL,GEOJIT FINANCIAL SERVICES LIMITED,"3,24,903.46"
900,GOODLUCK,GOODLUCK INDIA LIMITED,"3,24,541.03"
901,MAITHANALL,MAITHAN ALLOYS LIMITED,"3,23,735.34"
902,KITEX,KITEX GARMENTS LIMITED,"3,22,758.17"
903,SJS,S.J.S. ENTERPRISES LIMITED,"3,21,052.15"
904,PRECWIRE,PRECISION WIRES INDIA LIMITED,"3,20,737.57"
905,GTLINFRA,GTL INFRASTRUCTURE LIMITED,"3,18,783.35"
906,DCAL,DISHMAN CARBOGEN AMCIS LIMITED,"3,17,486.14"
907,FLAIR,FLAIR WRITING INDUSTRIES LIMITED,"3,16,640.76"
908,SANATHAN,SANATHAN TEXTILES LIMITED,"3,15,839.99"
909,TVSSRICHAK,TVS SRICHAKRA LIMITED,"3,14,478.42"
910,PFS,PTC INDIA FINANCIAL SERVICES LIMITED,"3,14,082.16"
911,SAKSOFT,SAKSOFT LIMITED,"3,13,892.30"
912,APOLLO,APOLLO MICRO SYSTEMS LIMITED,"3,13,822.41"
913,CAPACITE,CAPACITE INFRAPROJECTS LIMITED,"3,13,490.88"
914,REPCOHOME,REPCO HOME FINANCE LIMITED,"3,13,301.59"
915,MARATHON,MARATHON NEXTGEN REALTY LIMITED,"3,10,349.98"
916,INDOCO,INDOCO REMEDIES LIMITED,"3,09,881.46"
917,BAJEL,BAJEL PROJECTS LIMITED,"3,08,911.05"
918,KCP,KCP LIMITED,"3,08,346.67"
919,SURAJEST,SURAJ ESTATE DEVELOPERS LIMITED,"3,08,328.73"
920,ASHAPURMIN,ASHAPURA MINECHEM LIMITED,"3,07,096.04"
921,WENDT,WENDT (INDIA) LIMITED,"3,07,018.79"
922,GENESYS,GENESYS INTERNATIONAL CORPORATION LIMITED,"3,06,845.03"
923,JASH,JASH ENGINEERING LIMITED,"3,04,329.87"
924,POKARNA,POKARNA LIMITED,"3,03,436.89"
925,ADFFOODS,ADF FOODS LIMITED,"3,03,290.75"
926,EVEREADY,EVEREADY INDUSTRIES INDIA LIMITED,"3,02,875.99"
927,SALASAR,SALASAR TECHNO ENGINEERING LIMITED,"3,01,419.75"
928,FINOPB,FINO PAYMENTS BANK LIMITED,"3,01,063.73"
929,SAGCEM,SAGAR CEMENTS LIMITED,"2,99,707.01"
930,NSIL,NALWA SONS INVESTMENTS LIMITED,"2,99,377.36"
931,TASTYBITE,TASTY BITE EATABLES LIMITED,"2,98,191.31"
932,RPEL,RAGHAV PRODUCTIVITY ENHANCERS LIMITED,"2,97,427.56"
933,HINDOILEXP,HINDUSTAN OIL EXPLORATION COMPANY LIMITED,"2,97,397.48"
934,SUVEN,SUVEN LIFE SCIENCES LIMITED,"2,97,241.75"
935,KOLTEPATIL,KOLTE - PATIL DEVELOPERS LIMITED,"2,96,689.85"
936,PREMEXPLN,PREMIER EXPLOSIVES LIMITED,"2,96,673.26"
937,SPECTRUM,SPECTRUM ELECTRICAL INDUSTRIES LIMITED,"2,93,065.50"
938,NRBBEARING,NRB BEARING LIMITED,"2,92,799.71"
939,DOLLAR,DOLLAR INDUSTRIES LIMITED,"2,92,318.03"
940,ORIENTHOT,ORIENTAL HOTELS LIMITED,"2,91,717.66"
941,SOMANYCERA,SOMANY CERAMICS LIMITED,"2,91,715.58"
942,IDEAFORGE,IDEAFORGE TECHNOLOGY LIMITED,"2,91,433.07"
943,FOSECOIND,FOSECO INDIA LIMITED,"2,91,417.49"
944,VADILALIND,VADILAL INDUSTRIES LIMITED,"2,91,275.80"
945,AJMERA,AJMERA REALTY & INFRA INDIA LIMITED,"2,91,262.46"
946,HITECH,HI-TECH PIPES LIMITED,"2,89,724.11"
947,AUTOAXLES,AUTOMOTIVE AXLES LIMITED,"2,87,666.58"
948,GLOBUSSPR,GLOBUS SPIRITS LIMITED,"2,84,669.66"
949,GEPIL,GE POWER INDIA LIMITED,"2,84,314.85"
950,TCPLPACK,TCPL PACKAGING LIMITED,"2,83,976.01"
951,NILKAMAL,NILKAMAL LIMITED,"2,83,462.72"
952,ARKADE,ARKADE DEVELOPERS LIMITED,"2,83,112.91"
953,SUMMITSEC,SUMMIT SECURITIES LIMITED,"2,82,976.19"
954,RAJRATAN,RAJRATAN GLOBAL WIRE LIMITED,"2,82,312.95"
955,DREDGECORP,DREDGING CORPORATION OF INDIA LIMITED,"2,81,923.44"
956,STANLEY,STANLEY LIFESTYLES LIMITED,"2,81,334.29"
957,VISHNU,VISHNU CHEMICALS LIMITED,"2,81,153.27"
958,FUSION,FUSION FINANCE LIMITED,"2,80,846.00"
959,THEJO,THEJO ENGINEERING LIMITED,"2,80,718.61"
960,SHALBY,SHALBY LIMITED,"2,79,756.11"
961,DEEPINDS,DEEP INDUSTRIES LIMITED,"2,77,147.68"
962,VENKEYS,VENKY'S (INDIA) LIMITED,"2,77,131.92"
963,HLEGLAS,HLE GLASCOAT LIMITED,"2,76,865.28"
964,KICL,KALYANI INVESTMENT COMPANY LIMITED,"2,76,151.72"
965,DAMCAPITAL,DAM CAPITAL ADVISORS LIMITED,"2,75,239.50"
966,VINDHYATEL,VINDHYA TELELINKS LIMITED,"2,73,257.81"
967,FILATEX,FILATEX INDIA LIMITED,"2,72,791.12"
968,SIYSIL,SIYARAM SILK MILLS LIMITED,"2,72,495.81"
969,MONARCH,MONARCH NETWORTH CAPITAL LIMITED,"2,70,421.02"
970,MAYURUNIQ,MAYUR UNIQUOTERS LIMITED,"2,70,114.31"
971,MMFL,MM FORGINGS LIMITED,"2,69,519.77"
972,UNITECH,UNITECH LIMITED,"2,68,837.39"
973,HUHTAMAKI,HUHTAMAKI INDIA LIMITED,"2,68,426.53"
974,RANEHOLDIN,RANE HOLDINGS LIMITED,"2,67,734.30"
975,SMLISUZU,SML ISUZU LIMITED,"2,67,567.58"
976,VAKRANGEE,VAKRANGEE LIMITED,"2,67,165.87"
977,SASKEN,SASKEN TECHNOLOGIES LIMITED,"2,66,168.27"
978,KALAMANDIR,SAI SILKS (KALAMANDIR) LIMITED,"2,64,480.47"
979,RPTECH,RASHI PERIPHERALS LIMITED,"2,63,317.54"
980,HINDWAREAP,HINDWARE HOME INNOVATION LIMITED,"2,62,816.19"
981,PSPPROJECT,PSP PROJECTS LIMITED,"2,62,535.31"
982,KRSNAA,KRSNAA DIAGNOSTICS LIMITED,"2,61,798.99"
983,CONFIPET,CONFIDENCE PETROLEUM INDIA LIMITED,"2,61,275.68"
984,XPROINDIA,XPRO INDIA LIMITED,"2,60,951.75"
985,LANDMARK,LANDMARK CARS LIMITED,"2,60,265.22"
986,SENORES,SENORES PHARMACEUTICALS LIMITED,"2,59,201.11"
987,STYLEBAAZA,BAAZAR STYLE RETAIL LIMITED,"2,59,010.06"
988,STOVEKRAFT,STOVE KRAFT LIMITED,"2,58,242.71"
989,SOLARA,SOLARA ACTIVE PHARMA SCIENCES LIMITED,"2,58,195.84"
990,DCW,DCW LIMITED,"2,57,695.39"
991,SABTNL,SRI ADHIKARI BROTHERS TELEVISION NETWORK LIMITED,"2,56,995.87"
992,JYOTISTRUC,JYOTI STRUCTURES LIMITED,"2,54,698.87"
993,ACCELYA,ACCELYA SOLUTIONS INDIA LIMITED,"2,53,325.18"
994,EIHAHOTELS,EIH ASSOCIATED HOTELS LIMITED,"2,51,633.52"
995,PENIND,PENNAR INDUSTRIES LIMITED,"2,51,478.30"
996,SMSPHARMA,SMS PHARMACEUTICALS LIMITED,"2,49,384.01"
997,DOLATALGO,DOLAT ALGOTECH LIMITED,"2,49,011.37"
998,DISHTV,DISH TV INDIA LIMITED,"2,48,585.64"
999,MANGLMCEM,MANGALAM CEMENT LIMITED,"2,48,556.81"
1000,BFINVEST,BF INVESTMENT LIMITED,"2,48,209.19"
1001,PRECAM,PRECISION CAMSHAFTS LIMITED,"2,47,748.76"
1002,IOLCP,IOL CHEMICALS AND PHARMACEUTICALS LIMITED,"2,47,712.76"
1003,INTERARCH,INTERARCH BUILDING PRODUCTS LIMITED,"2,47,582.29"
1004,MOLDTKPAC,MOLD-TEK PACKAGING LIMITED,"2,46,948.67"
1005,RAMRAT,RAM RATNA WIRES LIMITED,"2,46,908.62"
1006,JUBLINDS,JUBILANT INDUSTRIES LIMITED,"2,46,583.77"
1007,LUMAXIND,LUMAX INDUSTRIES LIMITED,"2,46,320.94"
1008,INDIANHUME,INDIAN HUME PIPE COMPANY LIMITED,"2,45,117.20"
1009,MANINDS,MAN INDUSTRIES (INDIA) LIMITED,"2,44,860.59"
1010,UDS,UPDATER SERVICES LIMITED,"2,44,427.95"
1011,INSECTICID,INSECTICIDES (INDIA) LIMITED,"2,41,260.49"
1012,MOL,MEGHMANI ORGANICS LIMITED,"2,41,148.81"
1013,THEMISMED,THEMIS MEDICARE LIMITED,"2,40,956.72"
1014,DREAMFOLKS,DREAMFOLKS SERVICES LIMITED,"2,40,771.69"
1015,PIXTRANS,PIX TRANSMISSIONS LIMITED,"2,40,752.47"
1016,ECOSMOBLTY,ECOS (INDIA) MOBILITY & HOSPITALITY LIMITED,"2,40,459.63"
1017,PARACABLES,PARAMOUNT COMMUNICATIONS LIMITED,"2,40,236.03"
1018,ESAFSFB,ESAF SMALL FINANCE BANK LIMITED,"2,39,401.53"
1019,DOLPHIN,DOLPHIN OFFSHORE ENTERPRISES (INDIA) LIMITED,"2,39,193.10"
1020,INDOTECH,INDO TECH TRANSFORMERS LIMITED,"2,38,903.31"
1021,TARSONS,TARSONS PRODUCTS LIMITED,"2,37,761.98"
1022,DEN,DEN NETWORKS LIMITED,"2,37,374.55"
1023,KMEW,KNOWLEDGE MARINE & ENGINEERING WORKS LIMITED,"2,37,340.30"
1024,HMAAGRO,HMA AGRO INDUSTRIES LIMITED,"2,37,242.46"
1025,PANAMAPET,PANAMA PETROCHEM LIMITED,"2,37,089.77"
1026,NELCO,NELCO LIMITED,"2,36,626.54"
1027,AEROFLEX,AEROFLEX INDUSTRIES LIMITED,"2,36,361.30"
1028,MOTISONS,MOTISONS JEWELLERS LIMITED,"2,35,969.44"
1029,PARAGMILK,PARAG MILK FOODS LIMITED,"2,35,556.10"
1030,FMGOETZE,FEDERAL-MOGUL GOETZE (INDIA) LIMITED.,"2,35,454.82"
1031,VIDHIING,VIDHI SPECIALTY FOOD INGREDIENTS LIMITED,"2,34,989.44"
1032,IPL,INDIA PESTICIDES LIMITED,"2,34,141.49"
1033,OWAIS,OWAIS METAL AND MINERAL PROCESSING LIMITED,"2,32,637.29"
1034,NITINSPIN,NITIN SPINNERS LIMITED,"2,32,444.49"
1035,APOLLOPIPE,APOLLO PIPES LIMITED,"2,31,053.98"
1036,63MOONS,63 MOONS TECHNOLOGIES LIMITED,"2,30,923.32"
1037,DIAMONDYD,PRATAAP SNACKS LIMITED,"2,30,886.52"
1038,AXISCADES,AXISCADES TECHNOLOGIES LIMITED,"2,30,579.79"
1039,UGROCAP,UGRO CAPITAL LIMITED,"2,30,251.08"
1040,SANSTAR,SANSTAR LIMITED,"2,29,274.07"
1041,ASTEC,ASTEC LIFESCIENCES LIMITED,"2,28,877.61"
1042,RUPA,RUPA & COMPANY LIMITED,"2,27,297.29"
1043,CUPID,CUPID LIMITED,"2,26,993.38"
1044,UNIVCABLES,UNIVERSAL CABLES LIMITED,"2,25,784.08"
1045,TATVA,TATVA CHINTAN PHARMA CHEM LIMITED,"2,25,676.99"
1046,SPAL,S. P. APPARELS LIMITED,"2,25,317.01"
1047,CENTUM,CENTUM ELECTRONICS LIMITED,"2,24,512.27"
1048,CARYSIL,CARYSIL LIMITED,"2,24,269.31"
1049,BARBEQUE,BARBEQUE NATION HOSPITALITY LIMITED,"2,24,147.53"
1050,VSSL,VARDHMAN SPECIAL STEELS LIMITED,"2,24,104.21"
1051,GREENPOWER,ORIENT GREEN POWER COMPANY LIMITED,"2,23,209.02"
1052,RAMCOIND,RAMCO INDUSTRIES LIMITED,"2,22,938.14"
1053,TIL,TIL LIMITED,"2,22,610.76"
1054,MUKANDLTD,MUKAND LIMITED,"2,22,255.16"
1055,JITFINFRA,JITF INFRALOGISTICS LIMITED,"2,21,570.84"
1056,SANGHIIND,SANGHI INDUSTRIES LIMITED,"2,21,011.42"
1057,NIITLTD,NIIT LIMITED,"2,20,879.27"
1058,TTKHLTCARE,TTK HEALTHCARE LIMITED,"2,20,241.65"
1059,AHL,ABANS HOLDINGS LIMITED,"2,19,783.25"
1060,IKIO,IKIO LIGHTING LIMITED,"2,19,683.89"
1061,POCL,PONDY OXIDES & CHEMICALS LIMITED,"2,19,293.42"
1062,OMAXE,OMAXE LIMITED,"2,19,177.70"
1063,PNBGILTS,PNB GILTS LIMITED,"2,19,084.19"
1064,KIRIINDUS,KIRI INDUSTRIES LIMITED,"2,18,886.21"
1065,DEEDEV,DEE DEVELOPMENT ENGINEERS LIMITED,"2,18,851.28"
1066,AMRUTANJAN,AMRUTANJAN HEALTH CARE LIMITED,"2,18,684.36"
1067,KODYTECH,KODY TECHNOLAB LIMITED,"2,18,618.23"
1068,YASHO,YASHO INDUSTRIES LIMITED,"2,17,577.57"
1069,ATFL,AGRO TECH FOODS LIMITED,"2,16,796.90"
1070,COSMOFIRST,COSMO FIRST LIMITED,"2,16,672.33"
1071,APCOTEXIND,APCOTEX INDUSTRIES LIMITED,"2,16,663.59"
1072,SDBL,SOM DISTILLERIES & BREWERIES LIMITED,"2,14,003.28"
1073,HESTERBIO,HESTER BIOSCIENCES LIMITED,"2,13,662.81"
1074,GANDHAR,GANDHAR OIL REFINERY (INDIA) LIMITED,"2,12,902.28"
1075,IGARASHI,IGARASHI MOTORS INDIA LIMITED,"2,11,171.72"
1076,ALPEXSOLAR,ALPEX SOLAR LIMITED,"2,10,729.18"
1077,HUBTOWN,HUBTOWN LIMITED,"2,10,536.32"
